Facility ID,Facility Name,Facility Street,Facility City,Facility State,Facility ZIP,County,Mail Contact,Mail Address1,Mail Address2,Mail Suite,Mail City,Mail State,Mail ZIP,Hazard_explosive,Hazard_flammable,Hazard_oxidizer,Hazard_selfReactive,Hazard_pyrophoricLiqSol,Hazard_pyrophoricGas,Hazard_selfHeating,Hazard_organicPeroxide,Hazard_corrosiveToMetal,Hazard_gasUnderPressure,Hazard_icwwEmitsFlammableGas,Hazard_combustibleDust,Hazard_acuteToxicity,Hazard_skinCorrosion,Hazard_seriousEyeDamage,Hazard_respOrSkinSensitization,Hazard_germCellMutagenicity,Hazard_carcinogen,Hazard_reprodToxicity,Hazard_specTargOrgToxicity,Hazard_aspirationHaz,Hazard_simpleAsphyxiant,Hazard_notOtherwiseClassified
1418,Central Valley Ag Bulk Fuel,202 Beaver St,St Edward,NE,68660-4511,Boone,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
1419,Central Valley Ag,Jct 4th & Water Sts,St Edward,NE,68660-4522,Boone,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
1430,Ferrellgas,405 N 6th St,Albion,NE,68620-5103,Boone,Greg Howard,13606 L St,,,Omaha,NE,68137-1732,,,,,,,,,,,,,,,,,,,,,,,
1447,Helena Agri-Enterprises LLC,2493 State Highway 14,Albion,NE,68620-5105,Boone,Joey Neidhardt,PO Box 110,3016 Walnut Rd Albion 68620,,Albion,NE,68620-0110,,,,,,,,,,,,,,,,,,,,,,,
1459,Highway 91 Oil Company,110 E Church St,Albion,NE,68620-1905,Boone,Jeff Briese,110 E Church St,,,Albion,NE,68620-1905,,,,,,,,,,,,,,,,,,,,,,,
1545,NDOT Albion Yard,2664 State Highway 39,Albion,NE,68620-5847,Boone,Kevin A Miller,2664 State Highway 39,,,Albion,NE,68620-5834,,,,,,,,,,,,,,,,,,,,,,,
1549,Helena Agri-Enterprises LLC,113 Main St,Petersburg,NE,68652-5636,Boone,David R Redler,420 W Market St,,,Albion,NE,68620-1241,,,,,,,,,,,,,,,,,,,,,,,
1674,Central Valley Ag,401 Railroad Ave,St Edward,NE,68660-4566,Boone,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
1699,Parker Hannifin Corporation,2490 County Road 58,Alliance,NE,69301-6076,Box Butte,Chris S Nelson,PO Box B,,,Alliance,NE,69301-0768,,,,,,,,,,,,,,,,,,,,,,,
1707,Pepsi-Cola Bottling Co,110 Cheyenne Ave,Alliance,NE,69301-3744,Box Butte,Scott C Bohling,1901 Windhoek Dr,PO Box 22703 Lincoln 68542,,Lincoln,NE,68512-1269,,,,,,,,,,,,,,,,,,,,,,,
1734,New Alliance Div of WESTCO,2371 Highway 2,Alliance,NE,69301-6098,Box Butte,David W Briggs,PO Box H,Ag Chemicals and Fertiliizer,,Alliance,NE,69301-0774,,,,,,,,,,,,,,,,,,,,,,,
1870,Phillips F & T Inc,7600 Dodge Rd,Hemingford,NE,69348-5007,Box Butte,Robert Phillips,7600 Dodge Rd,,,Hemingford,NE,69348-5007,,,,,,,,,,,,,,,,,,,,,,,
1886,Progress Rail Services Corp,2472 County Road 55,Alliance,NE,69301-6064,Box Butte,Tanya Girouard,PO Box 1037,,,Albertville,AL,35950-0017,,,,,,,,,,,,,,,,,,,,,,,
1897,BNSF Railway Company,111 W 1st St,Alliance,NE,69301-3706,Box Butte,Robert Schroeder,801 W O St Bldg J,201 N 7th St Lincoln 68508,,Lincoln,NE,68528-1309,,,,,,,,,,,,,,,,,,,,,,,
1926,Simplot Grower Solutions,1610 County Road 65,Berea,NE,69301-5228,Box Butte,Kathy Hudson,1610 County Road 65,,,Berea,NE,69301-5228,,,,,,,,,,,,,,,,,,,,,,,
1945,WESTCO Inc,724 W 3rd St,Alliance,NE,69301-3208,Box Butte,David W Briggs,PO Box H,Ag Chemicals and Fertiliizer,,Alliance,NE,69301-0774,,,,,,,,,,,,,,,,,,,,,,,
2089,WESTCO Propane Bulk Plant,Highway 2 E,Alliance,NE,69301-3730,Box Butte,David W Briggs,PO Box H,Ag Chemicals and Fertiliizer,,Alliance,NE,69301-0774,,,,,,,,,,,,,,,,,,,,,,,
2116,Sapp Bros Petroleum Inc,122 Main St,Naper,NE,68755-0046,Boyd,Randy Benson,9915 S 148th St,,,Omaha,NE,68138-3876,,,,,,,,,,,,,,,,,,,,,,,
2145,NDOT Spencer Yard,401 Hillcrest Blvd,Spencer,NE,68777,Boyd,Michael C Haney,PO Box 66,,,Spencer,NE,68777-0066,,,,,,,,,,,,,,,,,,,,,,,
2151,Sapp Bros Petroleum Inc,Railroad St,Lynch,NE,68746,Boyd,Randy Benson,9915 S 148th St,,,Omaha,NE,68138-3876,,,,,,,,,,,,,,,,,,,,,,,
2301,Madison's Great Western,87794 429th Ave,Ainsworth,NE,69210-1915,Brown,Robert Maxwell,PO Box 166,,,Ainsworth,NE,69210-0166,,,,,,,,,,,,,,,,,,,,,,,
2321,NDOT District 08 Headquarters,736 E 4th St,Ainsworth,NE,69210-1215,Brown,Shaun D Emerson,736 E 4th St,,,Ainsworth,NE,69210-1215,,,,,,,,,,,,,,,,,,,,,,,
2367,Central Valley Ag Feed Mill,102 S Main St,Ainsworth,NE,69210-1358,Brown,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
2374,Eaton Corporation,4200 Highway 30 E,Kearney,NE,68847-9795,Buffalo,Craig Dubbs,4200 Highway 30 E,,,Kearney,NE,68847-9795,,,,,,,,,,,,,,,,,,,,,,,
2375,Henningsen Foods Inc,200 E Railway St,Ravenna,NE,68869-0150,Buffalo,David Behrendt,PO Box 150,,,Ravenna,NE,68869-0150,,,,,,,,,,,,,,,,,,,,,,,
2395,Nutrien Ag Solutions,1720 16th Ave,Kearney,NE,68845-6615,Buffalo,Ron Fitzke,PO Box 2050,,,Kearney,NE,68848-2050,,,,,,,,,,,,,,,,,,,,,,,
2398,Baldwin Filters Inc,4400 Highway 30 E,Kearney,NE,68848-6010,Buffalo,Jerry Hultgren,PO Box 6010,,,Kearney,NE,68848-6010,,,,,,,,,,,,,,,,,,,,,,,
2413,Rusty's Fertilizer Inc,74697 US Highway 183,Elm Creek,NE,68836-8001,Phelps,Eugene Florell,74697 US Highway 183,,,Elm Creek,NE,68836-8001,,,,,,,,,,,,,,,,,,,,,,,
2421,The Andersons Inc,6090 Optic Rd,Gibbon,NE,68840-3049,Buffalo,William Gombash,1947 Briarfield Blvd,,,Maumee,OH,43537-9803,,,,,,,,,,,,,,,,,,,,,,,
2452,Buffalo Air Services Inc,5735 Airport Rd,Kearney,NE,68847-9778,Buffalo,James Holliday,PO Box 209,2225 Q St Aurora NE 68818,,Aurora,NE,68818-0209,,,,,,,,,,,,,,,,,,,,,,,
2557,Titan Machinery Inc,714 3rd Ave,Kearney,NE,68847-7852,Buffalo,Craig Kopp,644 E Beaton Dr,,,West Fargo,ND,58078-2648,,,,,,,,,,,,,,,,,,,,,,,
2774,Bowie Fertilizer Inc,204 North St,Miller,NE,68858-0008,Buffalo,Ricky J Bowie,PO Box 8,,,Miller,NE,68858-0008,,,,,,,,,,,,,,,,,,,,,,,
2789,West Pharmaceutical Services,923 W Railroad St,Kearney,NE,68845-5128,Buffalo,Crystal Libich,923 W Railroad St,,,Kearney,NE,68845-5128,,,,,,,,,,,,,,,,,,,,,,,
2861,Frontier Communications,2302 1st Ave,Kearney,NE,68847-5310,Buffalo,Randy Robertson,1919 McKinney Ave,,,Dallas,TX,75201-1753,,,,,,,,,,,,,,,,,,,,,,,
2935,Clevenger Farm Products,6325 Lowell Rd,Gibbon,NE,68840-3010,Buffalo,Erin Herter,PO Box 8,,,Gibbon,NE,68840-0008,,,,,,,,,,,,,,,,,,,,,,,
2948,Darling Ingredients Inc,102 Lincoln Ave,Ravenna,NE,68869-1418,Buffalo,Jarrett Eubanks,5601 N Macarthur Blvd,5601 N Macarthur Blvd,,Irving,TX,75038-2616,,,,,,,,,,,,,,,,,,,,,,,
2971,Aurora Co-op Elevator Company,6540 E 39th St,Kearney,NE,68847-5674,Buffalo,James Holliday,PO Box 209,2225 Q St Aurora NE 68818,,Aurora,NE,68818-0209,,,,,,,,,,,,,,,,,,,,,,,
3099,Clevenger Petroleum Cardlock,315 W 8th St,Kearney,NE,68847-7355,Buffalo,Erin Herter,PO Box 8,,,Gibbon,NE,68840-0008,,,,,,,,,,,,,,,,,,,,,,,
3147,Jiffy Lube 0030,1204 2nd Ave,Kearney,NE,68847-6704,Buffalo,Lillian Nicholson,105 Decker Ct Ste 900,,,Irving,TX,75062-2227,,,,,,,,,,,,,,,,,,,,,,,
3218,NDOT Kearney Yard,4001 Highway 30 W,Kearney,NE,68845-4902,Buffalo,Mark Witt,4001 Highway 30 W,,,Kearney,NE,68845-4902,,,,,,,,,,,,,,,,,,,,,,,
3219,NDOT Kearney Yard I-80,415 W Talmadge Rd,Kearney,NE,68845-7828,Buffalo,Ron Griggs,415 W Talmadge Rd,,,Kearney,NE,68845-7828,,,,,,,,,,,,,,,,,,,,,,,
3265,The Andersons B4 Grain,304 W 19th St,Kearney,NE,68845-5953,Buffalo,William Gombash,1947 Briarfield Blvd,,,Maumee,OH,43537-9803,,,,,,,,,,,,,,,,,,,,,,,
3273,Sapp Bros Landmark Inc,380 Odessa Rd,Elm Creek,NE,68836-7510,Buffalo,Rocky L Janssen,380 Odessa Rd,,,Elm Creek,NE,68836-7510,,,,,,,,,,,,,,,,,,,,,,,
3361,Bunge USA Grain LLC,2700 Grand Ave,Kearney,NE,68847-4134,Buffalo,Brieanne Davenport,1331 Capitol Ave,,,Omaha,NE,68102-1196,,,,,,,,,,,,,,,,,,,,,,,
3390,Farmers Co-op Assn,35885 Ravenna Rd,Ravenna,NE,68869-3226,Buffalo,Ryan Bear,PO Box 170,,,Ravenna,NE,68869-0170,,,,,,,,,,,,,,,,,,,,,,,
3400,NDOT Ravenna Yard,42775 Highway 2,Ravenna,NE,68869,Buffalo,John Gorecki,42775 Highway 2,,,Ravenna,NE,68869-3261,,,,,,,,,,,,,,,,,,,,,,,
3431,Gibbon Packing LLC,218 Highway 30,Gibbon,NE,68840-6185,Buffalo,Charles Austen,PO Box 730,,,Gibbon,NE,68840-0730,,,,,,,,,,,,,,,,,,,,,,,
3445,Nebraska Central Telephone Co,22 La Barre St,Gibbon,NE,68840-6184,Buffalo,Dan Molliconi,1001 12th St,,,Aurora,NE,68818-2004,,,,,,,,,,,,,,,,,,,,,,,
3447,Cargill AgHorizons,7405 Gibbon Rd,Gibbon,NE,68840-6189,Buffalo,Jason Wiehn,PO Box 460,,,Shelton,NE,68876-0460,,,,,,,,,,,,,,,,,,,,,,,
3455,Agricultural Services Inc,523 Railroad St,Shelton,NE,68876-2537,Buffalo,Ronald McBride,PO Box 1428,,,Grand Island,NE,68802-1428,,,,,,,,,,,,,,,,,,,,,,,
3456,Cargill AgHorizons,19849 W Highway 30,Shelton,NE,68876-1623,Hall,Reece Chadwick,PO Box 460,,,Shelton,NE,68876-0460,,,,,,,,,,,,,,,,,,,,,,,
3503,Pilot Flying J 901,5085 Buffalo Creek Rd,Elm Creek,NE,68836-1511,Buffalo,Amanda Vogel,3144 Stage Post Dr Ste 112,,,Bartlett,TN,38133-4039,,,,,,,,,,,,,,,,,,,,,,,
3743,Central Valley Ag,1421 B St,Tekamah,NE,68061-5089,Burt,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
3749,Midwest Service,649 Highway 75,Tekamah,NE,68061-4177,Burt,Thomas Hansen,649 Highway 75,,,Tekamah,NE,68061-4177,,,,,,,,,,,,,,,,,,,,,,,
3849,NDOT Lyons Yard,1150 County Road Rs,Lyons,NE,68038-5000,Burt,Michael A Owen,1150 County Road Rs,,,Lyons,NE,68038-5000,,,,,,,,,,,,,,,,,,,,,,,
3877,Frontier Cooperative,211 S Lincoln St,Brainard,NE,68626-3516,Butler,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
3878,Frontier Cooperative,141 E Maple St,Dwight,NE,68635-0036,Butler,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
3879,Frontier Cooperative,508 Maple St,Bellwood,NE,68624-3005,Butler,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
3885,Central Sand & Gravel Co 73,4260 F Rd,Bellwood,NE,68624-9802,Butler,Thomas Silknitter,2625 S 158th Plz,,,Omaha,NE,68130-1770,,,,,,,,,,,,,,,,,,,,,,,
3921,Roth Aerial Spraying Inc,3380 Mn Rd,David City,NE,68632-5135,Butler,Jackson Roth,2617 Pioneers Rd,,,Milford,NE,68405-8753,,,,,,,,,,,,,,,,,,,,,,,
3975,Northside Inc,1652 N 4th St,David City,NE,68632-2204,Butler,Jeff Schmid,PO Box 26,,,David City,NE,68632-0026,,,,,,,,,,,,,,,,,,,,,,,
4028,Frontier Cooperative,1161 30 Rd,Garrison,NE,68632-5025,Butler,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4043,Frontier Cooperative,3541 O Rd,David City,NE,68632-5155,Butler,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4066,Central Valley Ag,130 E Walnut St,Rising City,NE,68658-3867,Butler,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
4084,Bob Stava Flying Service,1850 29 Rd,Brainard,NE,68626-3061,Butler,Robert D Stava,PO Box 88,603 S Madison St,,Brainard,NE,68626-0088,,,,,,,,,,,,,,,,,,,,,,,
4118,Kerford Limestone Co,36110 Fletcher Ave,Weeping Water,NE,68463-9801,Cass,Dyrk Huffman,PO Box 449,,,Weeping Water,NE,68463-0449,,,,,,,,,,,,,,,,,,,,,,,
4121,Frontier Cooperative,813 Mynard Rd,Plattsmouth,NE,68048-9351,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4122,Frontier Cooperative,400 Railway St,Eagle,NE,68347,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4125,PCS Phosphate Company Inc,701 S Garfield St,Weeping Water,NE,68463-0171,Cass,Richard Leach,PO Box 171,,,Weeping Water,NE,68463-0171,,,,,,,,,,,,,,,,,,,,,,,
4126,Frontier Cooperative,219 Highway 6,Greenwood,NE,68366-0210,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4129,Ash Grove Cement Co,16215 Highway 50,Louisville,NE,68037-2881,Cass,Sandy Weyers,16215 Highway 50,,,Louisville,NE,68037-2881,,,,,,,,,,,,,,,,,,,,,,,
4213,Wilbur-Ellis Company LLC,606 Wiles Rd,Plattsmouth,NE,68048-9384,Cass,Ty Zorn,4582 S Ulster St Ste 400,,,Denver,CO,80237-2634,,,,,,,,,,,,,,,,,,,,,,,
4236,Frontier Cooperative,304 S 3rd St,Elmwood,NE,68349-6114,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4248,Beaver Lake,9410 Clubhouse Cir,Plattsmouth,NE,68048-4209,Cass,Troy M Weatherby,9410 Clubhouse Cir,8601 27th Ave,,Plattsmouth,NE,68048-4209,,,,,,,,,,,,,,,,,,,,,,,
4270,Nielsen Fertilizer,15910 Hobscheidt Rd,Weeping Water,NE,68463-1800,Cass,David Nielsen,15910 Hobscheidt Rd,PO Box 204 68463-0204,,Weeping Water,NE,68463-1800,,,,,,,,,,,,,,,,,,,,,,,
4279,Frontier Cooperative,300 Manley Lane,Manley,NE,68403-0068,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4281,Frontier Cooperative,417 Railroad St,Murdock,NE,68407-5067,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4301,Iowa Limestone Co,36320 Fletcher Ave,Weeping Water,NE,68463-2508,Cass,Andy Gjerde,36320 Fletcher Ave,,,Weeping Water,NE,68463-2508,,,,,,,,,,,,,,,,,,,,,,,
4315,Buckley Powder Co,36712 Fletcher Ave,Weeping Water,NE,68463-9801,Cass,Jill Marrs,42 Inverness Dr E,,,Englewood,CO,80112-5403,,,,,,,,,,,,,,,,,,,,,,,
4336,NDOT Plattsmouth Yard,1000 S 22nd St,Plattsmouth,NE,68048-2705,Cass,Michael D Moore,1000 S 22nd St,,,Plattsmouth,NE,68048-2705,,,,,,,,,,,,,,,,,,,,,,,
4413,Plattsmouth Potable Water,17504 Schilling Refuge Rd,Plattsmouth,NE,68048-6901,Cass,Nate D Taylor,136 N 5th St,,,Plattsmouth,NE,68048-1974,,,,,,,,,,,,,,,,,,,,,,,
4429,Frontier Cooperative,300 Main St,Nehawka,NE,68413-2455,Cass,Cody Hull,10741 N 142nd St,,,Waverly,NE,68462-1102,,,,,,,,,,,,,,,,,,,,,,,
4437,Platte River State Park,14421 346th St,Louisville,NE,68037-3001,Cass,Adam E Johns,14421 346th St,Game and Parks Commission,,Louisville,NE,68037-3001,,,,,,,,,,,,,,,,,,,,,,,
4565,EPOLP Greenwood Terminal,18805 Highway 6,Greenwood,NE,68366,Lancaster,Mark Webster,PO Box 4324,Environmental Department,,Houston,TX,77210-4324,,,,,,,,,,,,,,,,,,,,,,,
4643,Farmers Pride Bulk Fuel,Jct E Fulton & S Pearl Sts,Coleridge,NE,68727-0036,Cedar,Dawn Pochop,PO Box 10,,,Battle Creek,NE,68715-0010,,,,,,,,,,,,,,,,,,,,,,,
4653,Farmers Union Co-op Gas Oil Co,208 N Summit Ave,Hartington,NE,68739-5160,Cedar,Roy Carl,PO Box 755,,,Hartington,NE,68739-0755,,,,,,,,,,,,,,,,,,,,,,,
4666,Central Valley Ag,607 N Robinson Ave,Hartington,NE,68739-6120,Cedar,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
4678,Nutrien Ag Solutions,1077 County Road B,Ashland,NE,68003-1187,Saunders,Keith Asher,1077 County Road B,,,Ashland,NE,68003-1187,,,,,,,,,,,,,,,,,,,,,,,
4737,Randolph Farm Supply Inc,550 W Jackson St,Randolph,NE,68771-9431,Cedar,Brad Bargstadt,PO Box 336,,,Randolph,NE,68771-0336,,,,,,,,,,,,,,,,,,,,,,,
4741,North Side Grain Co,203 Highway 20 N,Laurel,NE,68745-1967,Cedar,Tim Gubbels,203 Highway 20 N,,,Laurel,NE,68745-1967,,,,,,,,,,,,,,,,,,,,,,,
4791,Fordyce Farmers Non-Stock,113 Main St,Fordyce,NE,68736-0187,Cedar,Eric F Dickes,PO Box 187,55630 886 Rd,,Fordyce,NE,68736-0187,,,,,,,,,,,,,,,,,,,,,,,
4893,NDOT Laurel Yard,214 Highway 20 N,Laurel,NE,68745-1967,Cedar,Kenneth J Neuhalfen,214 Highway 20 N,,,Laurel,NE,68745-1967,,,,,,,,,,,,,,,,,,,,,,,
4983,Frenchman Valley Co-op Aerial,100 Highway 61,Imperial,NE,69033,Chase,Michael D Barfield,PO Box 578,202 Broadway St,,Imperial,NE,69033-0578,,,,,,,,,,,,,,,,,,,,,,,
4989,Nutrien Ag Solutions,73994 314 Ave,Lamar,NE,69023-2065,Chase,Greg Dannatt,73994 314 Ave,,,Lamar,NE,69023-2065,,,,,,,,,,,,,,,,,,,,,,,
5055,Wauneta Crossroads LLC,481 S Tecumseh,Wauneta,NE,69045-6533,Chase,Tracy L Haarberg,PO Box 1152,,,Imperial,NE,69033-1152,,,,,,,,,,,,,,,,,,,,,,,
5094,Frenchman Valley Farmers Co-op,73687 333 Ave,Imperial,NE,69033,Chase,Michael D Barfield,PO Box 578,202 Broadway St,,Imperial,NE,69033-0578,,,,,,,,,,,,,,,,,,,,,,,
5131,Midwest Custom Ag Aviation,310 N Highway 61,Imperial,NE,69033,Chase,Catherine Pendleton,255 Schilling Blvd Ste 210,,,Collierville,TN,38017-2467,,,,,,,,,,,,,,,,,,,,,,,
5164,Frenchman Valley Farmers Co-op,143 Broadway St,Imperial,NE,69033-0578,Chase,Matthew A Kennedy,PO Box 578,202 Broadway St,,Imperial,NE,69033-0578,,,,,,,,,,,,,,,,,,,,,,,
5275,Crookston Grain & Fertilizer,201 E 1st St,Crookston,NE,69212-0048,Cherry,Chris M Danielski,633 W Highway 20,,,Valentine,NE,69201-2069,,,,,,,,,,,,,,,,,,,,,,,
5357,NDOT Valentine 81400,602 E 1st St,Valentine,NE,69201-1966,Cherry,Duane Bellin,602 E 1st St,,,Valentine,NE,69201-1966,,,,,,,,,,,,,,,,,,,,,,,
5394,Central Valley Ag,1004 E Highway 20,Valentine,NE,69201-0271,Cherry,Amy Eisenhauer,PO Box 160,,,Wisner,NE,68791-0160,,,,,,,,,,,,,,,,,,,,,,,
5438,Reese Propane & Appliance,E 1st St,Valentine,NE,69201-1840,Cherry,Eric Reese,237 N Main St,,,Valentine,NE,69201-1840,,,,,,,,,,,,,,,,,,,,,,,
